cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-fixed-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,posit-fixed-1995,precosat-2009,rsat-fixed-2007,satelite-gti-2005,sbva-cadical-2023,zchaff-2004
001-10faa,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2707.32,1508.98,1501.21,FAILED,523.04,2667.99,587.20,2136.38,81.62,245.76,FAILED,4897.88,FAILED,FAILED,2831.18,4964.59,215.62,FAILED
001-2bbc3,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1139.57,FAILED,FAILED,FAILED,FAILED,FAILED,1416.95,FAILED,394.97,478.21,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
002,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2754.21,FAILED,183.37,1556.63,FAILED,FAILED,1082.48,310.41,FAILED,4501.90,FAILED,FAILED,FAILED,FAILED
002-23-96,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2932.77,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
002-80-12,SATISFIABLE,1209.49,FAILED,FAILED,4500.12,FAILED,FAILED,1727.10,1875.94,FAILED,3539.61,3867.58,3884.22,FAILED,FAILED,FAILED,1411.81,875.96,684.53,1014.33,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3533.62,FAILED
002-80-4,SATISFIABLE,240.64,FAILED,FAILED,347.46,FAILED,558.14,179.42,257.26,FAILED,578.34,466.19,467.51,12.53,FAILED,380.18,109.25,146.61,84.13,176.19,FAILED,192.87,FAILED,253.84,1761.78,FAILED,2570.91,FAILED
002-80-8,SATISFIABLE,755.70,FAILED,FAILED,103.74,FAILED,1573.09,1037.29,647.56,FAILED,1523.94,905.48,917.68,12.97,FAILED,FAILED,250.71,387.19,457.02,525.65,FAILED,2702.29,FAILED,FAILED,909.98,FAILED,229.31,FAILED
003,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1493.46,FAILED,FAILED,FAILED,FAILED,4446.31,FAILED,4846.62,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
003-23-80,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1483.88,4335.82,4330.54,FAILED,FAILED,FAILED,FAILED,FAILED,800.83,FAILED,FAILED,FAILED,FAILED,545.59,FAILED,FAILED,FAILED,FAILED
004,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,585.22,735.19,732.47,FAILED,694.06,4641.20,122.49,937.23,199.18,390.66,2952.96,1955.16,FAILED,839.57,FAILED,517.07,867.49,FAILED
005-39ad1,SATISFIABLE,615.11,FAILED,FAILED,86.21,FAILED,955.69,960.08,233.98,FAILED,1552.39,507.67,499.63,FAILED,FAILED,2612.92,872.12,483.89,76.58,522.03,FAILED,FAILED,FAILED,4034.52,FAILED,FAILED,2043.26,FAILED
005-9b47f,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,34.68,721.39,738.41,FAILED,361.54,3521.64,1297.37,4876.07,414.58,208.48,1960.13,383.51,FAILED,3552.48,58.11,4015.48,3242.04,FAILED
006-23-80,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4419.71,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
006-23-96,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
007,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1755.17,92.66,93.99,FAILED,FAILED,FAILED,FAILED,FAILED,719.41,254.25,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
007-80-12,SATISFIABLE,1023.98,FAILED,FAILED,4292.74,FAILED,FAILED,1766.95,2011.72,FAILED,3196.76,2646.87,2638.23,FAILED,FAILED,FAILED,1933.47,1080.08,734.58,890.85,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2475.16,FAILED
008-0779e,SATISFIABLE,FAILED,FAILED,FAILED,2217.34,FAILED,FAILED,FAILED,FAILED,FAILED,3676.37,4285.51,4246.69,FAILED,1269.61,FAILED,841.64,FAILED,1629.89,702.16,2023.57,586.42,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
008-11135,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,859.70,4925.57,4979.30,FAILED,FAILED,FAILED,FAILED,1360.52,1548.09,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
008-80-8,SATISFIABLE,844.18,FAILED,FAILED,1140.78,FAILED,1248.25,1068.15,388.42,FAILED,1171.87,1080.49,1099.31,FAILED,FAILED,804.19,706.61,476.99,311.25,626.76,FAILED,FAILED,FAILED,2550.07,FAILED,FAILED,3993.54,FAILED
009-23-64,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1028.47,2020.57,3675.49,FAILED,FAILED,FAILED,1264.68,FAILED,FAILED,1870.12,FAILED,FAILED,FAILED,FAILED,FAILED,1913.46,558.75,FAILED
01-integer-programming-20-30-40,SATISFIABLE,FAILED,FAILED,FAILED,2437.17,FAILED,FAILED,FAILED,FAILED,FAILED,3619.21,1230.22,1220.73,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1554.28,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2459.35,FAILED
01-integer-programming-5-10-100,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
010,SATISFIABLE,FAILED,FAILED,FAILED,3344.96,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,101.81,100.85,FAILED,FAILED,FAILED,1592.63,4809.99,229.59,1471.23,96.83,1857.83,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
010-23-80,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,555.51,561.47,FAILED,FAILED,3533.89,1549.13,FAILED,FAILED,687.06,3562.96,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
10-3-13,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3082.03,4234.58,405.88,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
10-4-10,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
10142772393204023fw.shuffled-as.sat03-1661,SATISFIABLE,98.76,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,39.10,190.00,654.34,FAILED,FAILED,FAILED,4458.93,1930.63,1195.43,1256.12,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,102.89,FAILED
10142772393204023nc.shuffled-as.sat03-1662,SATISFIABLE,17.24,2992.94,FAILED,1343.41,FAILED,FAILED,FAILED,175.23,FAILED,FAILED,FAILED,3726.63,FAILED,FAILED,FAILED,2585.84,607.84,2926.41,1710.52,FAILED,1215.85,FAILED,FAILED,FAILED,FAILED,37.67,FAILED
10142772393204023nw.shuffled-as.sat03-1663,SATISFIABLE,185.06,FAILED,FAILED,22.40,FAILED,2496.95,FAILED,FAILED,FAILED,1104.89,495.00,113.12,FAILED,FAILED,FAILED,1616.71,492.81,1011.25,1312.84,FAILED,237.61,FAILED,1118.42,FAILED,FAILED,107.72,FAILED
10pipe_k,UNSATISFIABLE,2226.57,858.75,FAILED,1532.21,FAILED,713.92,FAILED,832.66,FAILED,345.46,427.45,309.02,FAILED,672.65,819.91,2910.56,830.07,2826.62,2770.68,FAILED,FAILED,FAILED,695.48,FAILED,FAILED,2749.82,2629.15
10pipe_q0_k,UNSATISFIABLE,194.29,210.38,FAILED,182.01,FAILED,690.90,FAILED,1743.12,FAILED,145.48,125.50,146.56,FAILED,289.19,392.85,2620.40,472.00,2622.05,2619.34,FAILED,FAILED,FAILED,346.19,FAILED,FAILED,631.90,1712.75
11pipe_11_ooo,UNSATISFIABLE,FAILED,FAILED,FAILED,2874.81,FAILED,FAILED,FAILED,FAILED,FAILED,3169.63,3476.60,3259.74,FAILED,FAILED,FAILED,FAILED,FAILED,4635.02,4755.58,FAILED,FAILED,FAILED,3487.09,FAILED,FAILED,FAILED,FAILED
11pipe_k,UNSATISFIABLE,4497.49,1829.10,FAILED,1255.49,FAILED,1442.97,FAILED,FAILED,FAILED,487.48,723.87,553.84,FAILED,1399.24,1246.57,3003.39,1402.70,3005.52,3009.78,FAILED,FAILED,FAILED,1899.89,FAILED,FAILED,FAILED,FAILED
11pipe_q0_k,UNSATISFIABLE,415.23,391.00,FAILED,555.30,FAILED,598.91,FAILED,906.20,FAILED,246.70,249.29,253.33,FAILED,549.19,513.33,2741.81,631.76,2711.74,2744.40,FAILED,FAILED,FAILED,642.32,FAILED,FAILED,1521.70,3655.01
12pipe_bug3_q0,SATISFIABLE,23.98,52.43,FAILED,42.10,FAILED,16.82,79.46,32.54,FAILED,51.11,89.76,43.60,FAILED,34.43,37.59,41.11,75.60,2627.45,2627.37,7.04,47.59,FAILED,52.58,18.80,14.50,213.23,490.82
12pipe_bug4_q0,SATISFIABLE,26.31,38.03,FAILED,12.37,17.83,251.69,244.15,18.64,FAILED,4.65,4.69,4.71,FAILED,36.86,34.54,37.17,91.12,2566.41,85.12,2.12,53.05,FAILED,44.36,53.75,10.99,209.98,355.99
12pipe_bug7_q0,SATISFIABLE,109.14,554.17,FAILED,198.27,FAILED,303.47,80.75,106.25,FAILED,114.57,54.03,111.80,FAILED,129.19,70.26,2553.59,127.77,2571.67,2669.20,28.02,48.45,FAILED,64.37,220.95,13.42,810.60,1438.07
12pipe_bug8,SATISFIABLE,4.12,6.55,FAILED,20.96,15.49,342.65,FAILED,4.22,FAILED,2.33,2.22,4.08,12.20,60.65,39.73,57.29,120.88,2564.37,2615.17,FAILED,81.89,FAILED,118.27,135.85,FAILED,313.31,34.82
12pipe_bug9_q0,SATISFIABLE,33.59,636.57,FAILED,7.64,FAILED,65.92,45.78,13.92,FAILED,65.17,52.94,37.25,FAILED,27.24,123.10,40.24,94.19,2541.44,2656.32,3.82,70.74,FAILED,35.44,26.31,12.47,279.92,1143.71
12pipe_k,UNSATISFIABLE,FAILED,FAILED,FAILED,2389.35,FAILED,1808.32,FAILED,FAILED,FAILED,941.46,828.07,872.28,FAILED,2295.17,2211.08,3449.97,2800.18,3598.80,3274.24,FAILED,FAILED,FAILED,2767.72,FAILED,FAILED,FAILED,FAILED
12pipe_q0_k,UNSATISFIABLE,688.86,758.35,FAILED,728.67,FAILED,594.76,FAILED,FAILED,FAILED,412.43,412.79,411.16,FAILED,823.49,882.25,3063.44,1185.02,2970.97,2884.71,FAILED,FAILED,FAILED,901.76,FAILED,FAILED,2144.96,FAILED
13pipe_k,UNSATISFIABLE,FAILED,FAILED,FAILED,3862.99,FAILED,3142.99,FAILED,3795.78,FAILED,1201.19,1508.28,1503.49,FAILED,4374.13,2916.94,4291.63,FAILED,4082.27,3742.11,FAILED,FAILED,FAILED,3767.58,FAILED,FAILED,FAILED,FAILED
13pipe_q0_k,UNSATISFIABLE,1588.03,1316.14,FAILED,1039.65,FAILED,980.97,FAILED,FAILED,FAILED,657.75,569.04,668.05,FAILED,1486.65,1394.69,3280.17,1946.93,3250.92,3224.82,FAILED,FAILED,FAILED,1681.46,FAILED,FAILED,3151.09,FAILED
143,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
14pipe_q0_k,UNSATISFIABLE,2028.02,2308.06,FAILED,1303.44,FAILED,1413.75,FAILED,FAILED,FAILED,1006.98,1059.16,940.97,FAILED,2239.83,2184.72,3783.04,3685.19,3703.74,3624.69,FAILED,FAILED,FAILED,2710.84,FAILED,FAILED,FAILED,FAILED
15pipe_q0_k,UNSATISFIABLE,3142.22,3792.80,FAILED,1516.21,FAILED,1913.43,FAILED,FAILED,FAILED,1461.46,1624.36,1488.34,FAILED,3206.44,4998.26,4404.58,FAILED,4444.82,4507.33,FAILED,FAILED,FAILED,3168.80,FAILED,FAILED,FAILED,FAILED
16pipe_16_ooo,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
170055892,SATISFIABLE,FAILED,3478.08,197.33,0.67,FAILED,FAILED,FAILED,FAILED,FAILED,0.96,0.33,0.32,FAILED,FAILED,FAILED,2299.01,FAILED,FAILED,FAILED,FAILED,FAILED,132.12,FAILED,FAILED,FAILED,7.78,FAILED
170058143,SATISFIABLE,120.32,FAILED,1444.43,207.71,FAILED,FAILED,FAILED,FAILED,FAILED,4.73,7.17,6.69,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2214.91,FAILED,FAILED,FAILED,63.18,FAILED
170058440,SATISFIABLE,FAILED,FAILED,FAILED,4922.26,FAILED,FAILED,FAILED,FAILED,FAILED,1910.24,145.35,170.30,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1260.32,FAILED,FAILED,31.71,FAILED,FAILED
170059081,SATISFIABLE,FAILED,FAILED,3840.63,9.32,FAILED,FAILED,FAILED,FAILED,FAILED,0.28,1.93,0.40,FAILED,FAILED,FAILED,417.72,3937.92,FAILED,FAILED,FAILED,531.85,938.13,FAILED,FAILED,FAILED,30.64,FAILED
170059722,SATISFIABLE,FAILED,4913.01,FAILED,3569.51,FAILED,FAILED,FAILED,FAILED,FAILED,1065.54,391.56,545.12,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4263.32,FAILED,FAILED,FAILED,4909.93,FAILED
170104584,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1178.93,FAILED,FAILED,FAILED,FAILED,FAILED
170153306,SATISFIABLE,FAILED,FAILED,1409.82,55.99,FAILED,FAILED,FAILED,FAILED,FAILED,3.21,23.88,4.44,FAILED,FAILED,FAILED,FAILED,748.06,FAILED,FAILED,FAILED,FAILED,621.05,FAILED,FAILED,FAILED,43.92,FAILED
170154931,SATISFIABLE,FAILED,FAILED,484.96,41.62,FAILED,FAILED,FAILED,FAILED,FAILED,10.53,5.09,1.84,FAILED,FAILED,FAILED,FAILED,1093.67,FAILED,FAILED,FAILED,FAILED,199.82,2283.27,FAILED,FAILED,10.74,FAILED
170222843,SATISFIABLE,FAILED,FAILED,2698.34,17.07,FAILED,FAILED,FAILED,FAILED,FAILED,4.85,7.46,4.36,FAILED,FAILED,FAILED,FAILED,794.78,FAILED,FAILED,FAILED,989.99,719.52,FAILED,FAILED,FAILED,181.34,FAILED
170223547,SATISFIABLE,FAILED,FAILED,FAILED,34.40,FAILED,FAILED,FAILED,FAILED,FAILED,6.64,4.83,9.44,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,743.29,886.37,FAILED,1545.33,FAILED,641.99,FAILED
170225515,SATISFIABLE,FAILED,FAILED,FAILED,34.82,FAILED,FAILED,FAILED,FAILED,FAILED,421.36,277.17,34.30,FAILED,FAILED,FAILED,FAILED,FAILED,1062.16,1075.83,FAILED,FAILED,463.22,FAILED,FAILED,FAILED,7.82,FAILED
