cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,precosat-2009,rsat-2007,satelite-gti-2005,zchaff-2004
11pipe_11_ooo,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2914.41,3601.21,3036.21,FAILED,FAILED,FAILED,FAILED,FAILED,4075.03,4532.55,FAILED,FAILED,3221.53,FAILED,FAILED,FAILED
11pipe_k,UNSATISFIABLE,4450.15,1704.37,FAILED,FAILED,1534.46,FAILED,FAILED,FAILED,456.50,712.89,546.79,FAILED,1386.88,1316.25,3001.71,1475.10,2907.03,2998.22,FAILED,FAILED,1992.70,FAILED,FAILED,FAILED
12pipe_bug4_q0.used-as.sat04-723,SATISFIABLE,25.33,38.92,FAILED,18.31,254.37,237.57,17.93,FAILED,4.79,4.54,4.70,FAILED,36.52,34.92,37.71,98.30,2543.60,86.89,2.41,53.46,43.46,39.85,11.87,349.15
12pipe_bug6_q0.used-as.sat04-725,SATISFIABLE,25.92,19.68,FAILED,41.29,17.39,82.30,12.79,FAILED,10.18,10.44,10.19,3.75,22.11,25.81,38.39,75.46,84.93,77.01,4.36,39.91,33.56,18.65,FAILED,4.45
1dlx_c_iq57_a,UNSATISFIABLE,1715.07,1738.68,FAILED,FAILED,3803.02,1351.93,1388.97,FAILED,580.51,643.81,627.02,FAILED,1968.01,1640.30,3160.26,2009.70,3094.04,3268.01,FAILED,1840.63,2447.69,2713.65,FAILED,FAILED
1dlx_c_iq60_a,UNSATISFIABLE,2117.68,2253.40,FAILED,FAILED,FAILED,1897.75,1776.19,FAILED,744.61,814.08,664.47,FAILED,2323.38,2015.29,3264.74,2303.30,3175.04,3356.99,FAILED,1603.35,3329.67,3426.72,FAILED,FAILED
2dlx_ca_bp_f_liveness,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
6pipe_6_ooo.shuffled-as.sat03-413,UNSATISFIABLE,52.01,30.18,FAILED,1105.88,83.55,86.80,33.62,FAILED,29.34,34.63,35.61,FAILED,83.18,144.36,143.39,72.34,87.41,107.97,1226.59,55.39,45.34,149.44,679.42,113.91
9dlx_vliw_at_b_iq6.used-as.sat04-347,UNSATISFIABLE,1092.45,3485.24,FAILED,FAILED,1323.35,863.62,587.52,FAILED,405.78,464.73,478.29,FAILED,1006.87,1534.02,2907.06,1195.81,2880.77,3105.21,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
9dlx_vliw_at_b_iq7,UNSATISFIABLE,1422.35,FAILED,FAILED,FAILED,FAILED,2300.91,1039.57,FAILED,644.39,745.04,774.00,FAILED,1892.61,2168.69,3216.40,2660.63,3177.49,3347.29,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
