cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,glucose-2016,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2010,lingeling-2011,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2005,minisat-2006,minisat-2008,picosat-2007,precosat-2009,rsat-2007,satelite-gti-2005,siege-2003,zchaff-2004,zchaff-2007
003-23-80,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1519.76,4261.29,4386.47,FAILED,887.36,1448.62,FAILED,FAILED,FAILED,FAILED,747.58,FAILED,897.58,FAILED,FAILED,FAILED,528.07,FAILED,FAILED,FAILED,FAILED,FAILED
005-80-12,SATISFIABLE,1041.56,FAILED,FAILED,FAILED,FAILED,FAILED,1047.14,1240.11,1322.56,FAILED,4084.24,4563.50,4712.46,FAILED,FAILED,FAILED,FAILED,FAILED,1220.12,682.18,1038.32,674.09,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4831.61,FAILED,FAILED
006,SATISFIABLE,FAILED,FAILED,FAILED,2189.69,FAILED,FAILED,FAILED,FAILED,1179.85,FAILED,1260.23,421.46,422.68,FAILED,2636.36,FAILED,130.74,1754.02,38.12,250.99,2036.42,748.68,240.70,FAILED,1315.38,FAILED,FAILED,FAILED,426.56,FAILED,FAILED,FAILED
008-80-8,SATISFIABLE,806.66,FAILED,FAILED,1127.91,FAILED,1315.18,975.02,372.99,1324.16,FAILED,1186.67,1133.71,1123.17,FAILED,FAILED,885.83,FAILED,826.29,703.37,454.40,301.69,636.88,FAILED,FAILED,FAILED,FAILED,2381.20,FAILED,FAILED,3226.15,FAILED,FAILED
20-100-lambda100-49_sat,SATISFIABLE,963.63,FAILED,FAILED,63.84,FAILED,334.43,294.14,711.03,634.05,FAILED,135.99,106.50,106.23,FAILED,FAILED,1070.11,1944.83,1975.92,283.33,365.62,217.69,186.33,FAILED,1544.13,3936.07,FAILED,1465.08,895.40,FAILED,FAILED,FAILED,FAILED
20-100-lambda100-89_sat,SATISFIABLE,1425.99,FAILED,FAILED,306.43,FAILED,2719.47,1026.05,1908.02,1098.82,FAILED,524.16,460.66,456.09,FAILED,FAILED,869.89,FAILED,FAILED,210.79,618.64,1034.24,482.84,FAILED,FAILED,FAILED,1395.20,1005.20,3916.89,FAILED,FAILED,FAILED,FAILED
20-100-p100-55_sat,SATISFIABLE,FAILED,FAILED,FAILED,1487.07,FAILED,FAILED,FAILED,1321.44,FAILED,FAILED,2164.64,477.70,481.92,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,808.77,2434.76,1453.53,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3407.57,FAILED,FAILED,FAILED
20180321_140826713_p_cnf_320_1120,SATISFIABLE,FAILED,FAILED,1015.59,64.14,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1.05,0.44,0.45,FAILED,FAILED,FAILED,FAILED,FAILED,4310.98,1003.33,FAILED,FAILED,FAILED,FAILED,2300.36,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
3d_perfect_euler_bricks,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
4d_euler_bricks,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
4d_perfect_euler_bricks,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
4g_5color_166_100_02,SATISFIABLE,807.97,554.67,FAILED,521.11,FAILED,FAILED,88.02,358.88,1606.85,FAILED,423.97,529.43,44.74,FAILED,199.26,191.24,2704.17,157.17,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4668.97,FAILED,1829.72,685.82,FAILED,2512.27,FAILED,FAILED
50bits_11.dimacs,SATISFIABLE,1285.70,FAILED,FAILED,541.49,FAILED,261.99,528.85,2898.00,1227.87,FAILED,2140.85,1734.74,637.82,FAILED,796.07,641.07,2305.39,53.64,600.02,264.73,492.66,548.36,134.23,132.23,1081.87,629.25,691.57,3510.54,183.85,FAILED,FAILED,FAILED
52bits_12.dimacs,SATISFIABLE,FAILED,FAILED,FAILED,4063.22,FAILED,FAILED,2248.62,3898.49,1686.05,FAILED,3586.58,370.90,3881.97,FAILED,FAILED,134.63,FAILED,3220.72,2409.17,3902.94,966.66,3996.79,FAILED,FAILED,1402.91,2203.80,FAILED,FAILED,2092.65,FAILED,FAILED,FAILED
6-4-6-sc2018,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2558.90,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
6s105_Iter35,UNSATISFIABLE,1678.37,FAILED,FAILED,1231.52,FAILED,3296.23,2625.90,2006.04,1552.41,FAILED,988.24,1324.46,1105.58,FAILED,4825.44,2003.84,FAILED,FAILED,3265.54,1234.79,1158.99,1180.80,FAILED,FAILED,FAILED,FAILED,2215.03,FAILED,FAILED,FAILED,FAILED,FAILED
6s105_Iter99,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
6s133-sc2014,UNSATISFIABLE,5.48,FAILED,FAILED,401.18,FAILED,615.61,719.58,371.38,347.87,FAILED,272.03,337.02,346.91,FAILED,FAILED,4413.79,0.59,0.63,2776.14,242.55,2749.32,2684.06,FAILED,FAILED,FAILED,FAILED,4118.35,FAILED,FAILED,FAILED,FAILED,FAILED
